student_id,department,gender,attendance_rate,study_hours_per_week,previous_grade,socio_economic_band,final_grade,risk_category
1,Health,Male,43,3.0,88,Low,52.32682361347308,Medium Risk
2,Arts,Male,84,13.0,89,Low,79.04090395841592,Low Risk
3,Engineering,Male,65,12.0,53,Low,55.93705201772559,Medium Risk
4,Arts,Male,67,26.0,96,Low,81.00767026683953,Low Risk
5,Arts,Male,71,5.0,93,Low,60.19668698023355,Medium Risk
6,IT,Female,84,16.0,99,High,68.30009035913562,Low Risk
7,Engineering,Female,41,34.0,62,High,70.59732376487257,Low Risk
8,Engineering,Female,70,16.0,52,Low,51.63736919159901,Medium Risk
9,Engineering,Female,42,1.0,60,High,38.8659582868958,High Risk
10,Arts,Female,93,12.0,53,Low,75.08651433546684,Low Risk
11,Health,Female,47,1.0,89,High,49.34892981584286,High Risk
12,Engineering,Female,63,17.0,91,Medium,68.50315910627201,Low Risk
13,Arts,Male,54,25.0,40,Low,55.53261884251376,Medium Risk
14,IT,Male,82,21.0,35,Medium,60.684945552246724,Medium Risk
15,Health,Female,70,2.0,42,Low,38.42414455156159,High Risk
16,IT,Female,48,34.0,85,Low,77.16512124634748,Low Risk
17,Health,Male,78,11.0,59,Medium,57.62175045582161,Medium Risk
18,Arts,Male,84,23.0,81,Medium,71.39499497848367,Low Risk
19,Business,Male,41,4.0,89,Medium,42.18054766388959,High Risk
20,Health,Male,47,19.0,98,Low,73.17478584962227,Low Risk
21,IT,Female,46,12.0,44,Medium,36.30602061472104,High Risk
22,Arts,Male,95,11.0,90,Medium,75.32926963295354,Low Risk
23,Health,Female,83,12.0,46,High,45.983217352063654,High Risk
24,Business,Female,90,9.0,67,High,70.93895530275041,Low Risk
25,Business,Female,78,32.0,51,Medium,71.80438046557568,Low Risk
26,Engineering,Male,81,15.0,95,Medium,72.70800056917933,Low Risk
27,Engineering,Male,96,34.0,44,Medium,83.58367956654243,Low Risk
28,IT,Female,55,2.0,65,Medium,38.05790028499344,High Risk
29,Health,Female,74,4.0,94,High,60.36043576642782,Medium Risk
30,Health,Female,69,25.0,51,Low,69.50214034712076,Low Risk
31,Engineering,Male,49,10.0,84,Medium,60.86367939502091,Medium Risk
32,Health,Female,77,6.0,71,Medium,59.29898461583774,Medium Risk
33,Health,Male,57,9.0,96,High,59.56913721718394,Medium Risk
34,Business,Female,89,33.0,63,Medium,84.1702093557384,Low Risk
35,Engineering,Female,44,2.0,66,Medium,52.594651348150194,Medium Risk
36,Arts,Female,92,7.0,45,High,56.74933440949575,Medium Risk
37,Engineering,Male,68,30.0,40,Medium,61.86905806207872,Medium Risk
38,Arts,Male,78,10.0,69,Medium,59.14992898259331,Medium Risk
39,Business,Female,99,6.0,67,High,57.73914116733084,Medium Risk
40,IT,Male,73,1.0,52,Low,40.38799459646134,High Risk
41,Health,Female,82,5.0,71,Medium,47.57302905375147,High Risk
42,Business,Male,84,31.0,47,Medium,73.27846059368429,Low Risk
43,Health,Male,62,19.0,98,Low,84.66933463916348,Low Risk
44,IT,Male,44,33.0,35,High,65.22445780525302,Low Risk
45,IT,Female,69,15.0,97,Low,56.20303155109123,Medium Risk
46,Business,Male,45,24.0,68,Medium,71.00034095498768,Low Risk
47,IT,Male,95,11.0,44,Low,62.53777713745497,Medium Risk
48,Arts,Female,97,17.0,41,High,47.894288174161495,High Risk
49,IT,Female,85,16.0,90,Medium,78.90358126269929,Low Risk
50,Health,Female,83,10.0,71,High,55.5936047350968,Medium Risk
51,Health,Female,43,5.0,63,High,37.628465702401854,High Risk
52,Health,Male,68,22.0,46,Low,69.69127816401912,Low Risk
53,Health,Male,62,26.0,51,Low,63.41961976078175,Medium Risk
54,Arts,Male,45,5.0,82,High,36.481610028270055,High Risk
55,Engineering,Male,71,17.0,60,High,43.020180663311976,High Risk
56,Business,Male,81,21.0,46,Medium,63.02846964251386,Medium Risk
57,Health,Female,57,19.0,55,High,64.44021141624076,Medium Risk
58,IT,Male,54,24.0,76,High,69.28601853305456,Low Risk
59,Health,Male,79,14.0,95,Low,69.82050613135826,Low Risk
60,IT,Male,97,28.0,92,High,98.37033687138722,Low Risk
61,IT,Female,71,7.0,88,High,60.52474139500666,Medium Risk
62,Health,Female,48,32.0,68,Low,68.8998639106057,Low Risk
63,Arts,Male,76,21.0,41,Medium,67.1799853632497,Low Risk
64,IT,Female,49,17.0,69,Low,44.41197058710079,High Risk
65,IT,Female,59,17.0,49,Low,53.567555800076626,Medium Risk
66,Health,Female,45,29.0,99,High,81.11745034846993,Low Risk
67,IT,Female,87,30.0,59,High,73.32598977150042,Low Risk
68,IT,Female,95,9.0,93,Medium,67.78407734292998,Low Risk
69,Health,Female,98,17.0,40,High,58.8214956109967,Medium Risk
70,Health,Female,42,17.0,86,Medium,60.23201782985192,Medium Risk
71,Business,Male,81,22.0,55,Medium,75.38457029689957,Low Risk
72,Arts,Male,50,32.0,66,Medium,74.60443511636201,Low Risk
73,Arts,Female,82,15.0,87,Medium,76.67942353581842,Low Risk
74,IT,Male,56,34.0,93,High,86.80637212745509,Low Risk
75,Arts,Male,71,33.0,96,Low,97.53773090247672,Low Risk
76,IT,Female,43,27.0,38,Low,58.28516653943893,Medium Risk
77,Business,Male,43,1.0,52,High,32.28052291233077,High Risk
78,Health,Female,56,29.0,90,High,80.12030146624589,Low Risk
79,Health,Female,80,12.0,58,Medium,51.77336824225422,Medium Risk
80,Health,Female,58,15.0,47,High,53.391494320817856,Medium Risk
81,Arts,Male,44,4.0,96,Low,50.95877159278172,Medium Risk
82,Business,Male,71,17.0,88,High,78.78804823891276,Low Risk
83,Arts,Male,61,19.0,49,High,62.98877062487244,Medium Risk
84,Arts,Male,95,23.0,37,Medium,59.248703844631194,Medium Risk
85,Business,Female,45,26.0,71,Medium,64.41502462740539,Medium Risk
86,Business,Female,74,29.0,71,Medium,85.1163124926772,Low Risk
87,Business,Male,61,26.0,37,Medium,61.74313764552152,Medium Risk
88,Business,Female,40,25.0,97,Low,73.16284643408346,Low Risk
